               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.011105,           0.0067709,            0.039325,             0.33198,             0.68172,             0.43189,             0.39938,           0.0029629,           0.0017548,            0.015916,            0.006535,            0.006535,            0.006535
                  37,            0.010734,           0.0065109,             0.03993,             0.46377,             0.57613,             0.44073,             0.40239,           0.0030656,           0.0020345,            0.015869,            0.006436,            0.006436,            0.006436
                  38,            0.010947,           0.0064621,            0.038646,             0.37459,             0.72163,             0.45774,             0.41127,           0.0033942,           0.0018105,            0.015524,            0.006337,            0.006337,            0.006337
                  39,            0.011463,           0.0064626,            0.040189,             0.50075,             0.55194,             0.44478,             0.42086,            0.002565,           0.0016028,            0.015796,            0.006238,            0.006238,            0.006238
                  40,            0.010752,            0.006537,            0.039804,             0.36337,             0.67734,             0.44258,             0.40488,           0.0030034,           0.0017704,            0.015502,            0.006139,            0.006139,            0.006139
                  41,            0.010407,           0.0063153,            0.039296,             0.49131,             0.63793,             0.46582,              0.4324,           0.0028611,           0.0020574,            0.015114,             0.00604,             0.00604,             0.00604
                  42,            0.010788,            0.006134,            0.038963,             0.53545,             0.55888,             0.47469,              0.4441,           0.0032123,           0.0016753,            0.015371,            0.005941,            0.005941,            0.005941
                  43,            0.011211,            0.006506,            0.038674,              0.4292,             0.62067,             0.48324,             0.45338,           0.0026145,           0.0016495,            0.015213,            0.005842,            0.005842,            0.005842
                  44,            0.010369,           0.0063652,             0.03874,             0.60495,             0.48673,              0.4843,              0.4486,           0.0028041,           0.0017269,            0.014678,            0.005743,            0.005743,            0.005743
                  45,            0.010171,           0.0062564,            0.037323,             0.56449,             0.54807,             0.49032,             0.45693,           0.0031138,           0.0019565,            0.014551,            0.005644,            0.005644,            0.005644
                  46,            0.010136,           0.0063964,            0.037239,             0.61627,             0.54445,             0.50632,             0.47344,           0.0029131,           0.0016455,            0.014517,            0.005545,            0.005545,            0.005545
                  47,             0.01021,           0.0065212,            0.037876,             0.76971,             0.41806,             0.53604,              0.4849,            0.003798,            0.001827,            0.014068,            0.005446,            0.005446,            0.005446
                  48,           0.0099706,            0.006214,            0.036473,             0.51353,             0.64835,              0.5258,               0.476,           0.0031152,           0.0017793,            0.014154,            0.005347,            0.005347,            0.005347
                  49,            0.010301,           0.0063946,            0.037277,             0.54982,              0.5956,             0.52092,             0.48481,            0.002986,           0.0017368,            0.013871,            0.005248,            0.005248,            0.005248
                  50,           0.0098789,           0.0062119,            0.036341,             0.55603,             0.61517,             0.51941,              0.4886,           0.0026522,           0.0018446,            0.013948,            0.005149,            0.005149,            0.005149
                  51,           0.0098128,           0.0062281,            0.035648,             0.56322,             0.58371,             0.52802,             0.48795,           0.0030975,           0.0020173,             0.01352,             0.00505,             0.00505,             0.00505
                  52,           0.0096996,           0.0059912,            0.036797,              0.4653,             0.67409,             0.56094,             0.52285,            0.003019,           0.0019708,            0.013513,            0.004951,            0.004951,            0.004951
                  53,           0.0097839,           0.0063336,            0.036803,             0.46787,             0.67506,             0.54612,             0.51836,           0.0027986,           0.0018322,            0.013417,            0.004852,            0.004852,            0.004852
                  54,           0.0093796,           0.0059572,            0.035371,             0.46911,             0.64965,             0.53857,             0.50191,           0.0032636,           0.0016539,            0.013099,            0.004753,            0.004753,            0.004753
                  55,           0.0094681,           0.0058278,            0.035071,             0.56529,             0.62795,             0.56726,             0.53697,           0.0025362,           0.0018512,            0.012879,            0.004654,            0.004654,            0.004654
                  56,           0.0096765,           0.0059745,            0.034613,              0.5867,             0.65899,               0.607,             0.57094,           0.0027888,           0.0016553,            0.012714,            0.004555,            0.004555,            0.004555
                  57,           0.0094834,           0.0058275,            0.033926,             0.57428,             0.62989,             0.60327,             0.57016,           0.0024904,            0.001924,             0.01295,            0.004456,            0.004456,            0.004456
                  58,            0.009505,            0.005862,            0.035301,             0.64211,             0.62229,             0.60031,             0.55316,           0.0028965,           0.0018979,            0.012643,            0.004357,            0.004357,            0.004357
                  59,           0.0095443,           0.0059723,            0.034745,              0.5414,             0.68492,             0.60164,             0.55587,           0.0032677,           0.0019527,            0.012337,            0.004258,            0.004258,            0.004258
                  60,            0.009245,           0.0059369,            0.032813,             0.61076,             0.66293,             0.62523,             0.58709,           0.0029947,           0.0018394,            0.011987,            0.004159,            0.004159,            0.004159
                  61,           0.0099693,           0.0059164,            0.035123,             0.62896,             0.66039,             0.62664,             0.56617,           0.0036892,           0.0017616,            0.011749,             0.00406,             0.00406,             0.00406
                  62,            0.008797,           0.0055403,            0.032864,             0.60917,             0.66809,             0.62528,             0.59364,            0.002991,             0.00166,             0.01163,            0.003961,            0.003961,            0.003961
                  63,           0.0092492,           0.0054552,            0.033539,             0.57906,              0.6764,             0.63208,             0.57423,            0.003979,           0.0017119,            0.011698,            0.003862,            0.003862,            0.003862
                  64,           0.0096711,           0.0060169,             0.03345,             0.65589,             0.66816,             0.63895,             0.58879,           0.0032586,           0.0018746,            0.011311,            0.003763,            0.003763,            0.003763
                  65,            0.008555,           0.0056254,            0.032264,             0.67782,             0.64176,             0.64876,             0.59641,           0.0037673,           0.0020691,            0.011083,            0.003664,            0.003664,            0.003664
                  66,           0.0082617,           0.0056056,            0.032342,             0.59397,             0.72228,             0.65311,             0.61249,           0.0026741,           0.0021162,            0.011219,            0.003565,            0.003565,            0.003565
                  67,           0.0089291,           0.0058181,             0.03367,             0.56841,             0.72828,             0.67289,             0.62874,           0.0034015,           0.0018269,            0.010699,            0.003466,            0.003466,            0.003466
                  68,           0.0090399,           0.0056608,            0.033381,             0.57254,             0.71019,             0.68502,             0.64098,           0.0027441,           0.0017923,            0.010851,            0.003367,            0.003367,            0.003367
                  69,           0.0084108,           0.0057421,            0.031743,             0.58231,             0.74394,             0.67375,             0.64207,            0.002168,           0.0020009,            0.010711,            0.003268,            0.003268,            0.003268
                  70,           0.0085332,           0.0057536,            0.032649,             0.63034,             0.72795,             0.69774,             0.65671,           0.0025002,           0.0019576,            0.010372,            0.003169,            0.003169,            0.003169
                  71,           0.0085966,           0.0055505,            0.031127,             0.62635,             0.74576,             0.72253,             0.69527,           0.0023175,           0.0017229,            0.010156,             0.00307,             0.00307,             0.00307
                  72,           0.0085218,           0.0057224,              0.0332,             0.63735,             0.74252,             0.74146,             0.71588,           0.0021569,           0.0018364,            0.010047,            0.002971,            0.002971,            0.002971
                  73,           0.0083105,           0.0054958,            0.031103,             0.61836,             0.74148,             0.73209,             0.69902,           0.0022504,           0.0018552,           0.0099478,            0.002872,            0.002872,            0.002872
                  74,           0.0085673,           0.0055298,            0.030837,             0.72736,             0.66531,             0.74333,             0.71478,            0.002413,           0.0017895,            0.010001,            0.002773,            0.002773,            0.002773
                  75,           0.0082569,           0.0055486,            0.030774,             0.66553,             0.69532,             0.76291,              0.7212,           0.0024392,           0.0019964,           0.0098164,            0.002674,            0.002674,            0.002674
                  76,           0.0077483,           0.0054928,            0.029855,             0.60308,             0.79312,             0.74169,             0.70981,           0.0021713,           0.0021781,           0.0094798,            0.002575,            0.002575,            0.002575
                  77,           0.0079576,           0.0054033,             0.02945,             0.55746,              0.7981,             0.73659,             0.69655,           0.0025319,           0.0019849,             0.00949,            0.002476,            0.002476,            0.002476
                  78,           0.0077917,            0.005548,            0.028598,             0.56605,             0.82527,             0.77908,             0.75404,           0.0021365,           0.0019631,           0.0091615,            0.002377,            0.002377,            0.002377
                  79,            0.007737,           0.0054049,            0.029219,             0.58713,             0.84446,             0.77794,             0.75252,           0.0021346,           0.0018744,            0.009019,            0.002278,            0.002278,            0.002278
                  80,           0.0079243,           0.0052154,            0.029435,              0.5784,             0.81099,             0.76834,             0.73506,           0.0023008,            0.001793,           0.0090859,            0.002179,            0.002179,            0.002179
                  81,           0.0075434,           0.0053911,            0.028987,             0.62185,             0.77848,             0.76525,             0.74424,           0.0020194,           0.0021258,            0.009033,             0.00208,             0.00208,             0.00208
                  82,           0.0075354,           0.0052925,            0.028802,             0.63672,             0.79831,             0.80091,             0.77283,           0.0024722,           0.0019209,           0.0087617,            0.001981,            0.001981,            0.001981
